Document Index (generated),Eightd Has Key Dispenser,Electric Bike Surcharge Waiver,External Id,Has Kiosk,Legacy Id,Name,Region Id,Rental Url,Short Name,Station Id,Station Type,stations Index (generated),Capacity,Last Updated,Lat,Lon,Number of Records per station_information.json,Ttl
1,False,False,66db237e-0aca-11e7-82f6-3863bb44ef7c,True,72,W 52 St & 11 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=72,6926.01,72,classic,1,55,1596615845,40.76727216,-73.99392888,1,5
1,False,False,66db269c-0aca-11e7-82f6-3863bb44ef7c,True,79,Franklin St & W Broadway,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=79,5430.08,79,classic,2,33,1596615845,40.71911552,-74.00666661,1,5
1,False,False,66db277a-0aca-11e7-82f6-3863bb44ef7c,True,82,St James Pl & Pearl St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=82,5167.06,82,classic,3,27,1596615845,40.71117416,-74.00016545,1,5
1,False,False,66db281e-0aca-11e7-82f6-3863bb44ef7c,True,83,Atlantic Ave & Fort Greene Pl,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=83,4354.07,83,classic,4,62,1596615845,40.68382604,-73.97632328,1,5
1,False,False,66db28b5-0aca-11e7-82f6-3863bb44ef7c,True,116,W 17 St & 8 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=116,6148.02,116,classic,5,50,1596615845,40.74177603,-74.00149746,1,5
1,False,False,66db2953-0aca-11e7-82f6-3863bb44ef7c,True,119,Park Ave & St Edwards St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=119,4700.06,119,classic,6,19,1596615845,40.69608941,-73.97803415,1,5
1,False,False,66db29e6-0aca-11e7-82f6-3863bb44ef7c,True,120,Lexington Ave & Classon Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=120,4452.03,120,classic,7,19,1596615845,40.68676793,-73.95928168,1,5
1,False,False,66db2a71-0aca-11e7-82f6-3863bb44ef7c,True,127,Barrow St & Hudson St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=127,5805.05,127,classic,8,31,1596615845,40.73172428,-74.00674436,1,5
1,False,False,66db2afe-0aca-11e7-82f6-3863bb44ef7c,True,128,MacDougal St & Prince St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=128,5687.04,128,classic,9,30,1596615845,40.72710258,-74.00297088,1,5
1,False,False,66db2d2b-0aca-11e7-82f6-3863bb44ef7c,True,143,Clinton St & Joralemon St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=143,4605.04,143,classic,10,24,1596615845,40.69239502,-73.99337909,1,5
1,False,False,66db2db5-0aca-11e7-82f6-3863bb44ef7c,True,144,Nassau St & Navy St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=144,4812.02,144,classic,11,58,1596615845,40.69839895,-73.98068914,1,5
1,False,False,66db2e3a-0aca-11e7-82f6-3863bb44ef7c,True,146,Hudson St & Reade St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=146,5359.10,146,classic,12,39,1596615845,40.71625008,-74.0091059,1,5
1,False,False,66db2f4c-0aca-11e7-82f6-3863bb44ef7c,True,150,E 2 St & Avenue C,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=150,5476.03,150,classic,13,55,1596615845,40.7208736,-73.98085795,1,5
1,True,False,66db2fd0-0aca-11e7-82f6-3863bb44ef7c,True,151,Cleveland Pl & Spring St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=151,5492.05,151,classic,14,33,1596615845,40.722103787,-73.997249007,1,5
1,False,False,66db316a-0aca-11e7-82f6-3863bb44ef7c,True,157,Henry St & Atlantic Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=157,4531.05,157,classic,15,23,1596615845,40.69089272,-73.99612349,1,5
1,False,False,66db3273-0aca-11e7-82f6-3863bb44ef7c,True,161,LaGuardia Pl & W 3 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=161,5721.14,161,classic,16,35,1596615845,40.72917025,-73.99810231,1,5
1,False,False,66db32fb-0aca-11e7-82f6-3863bb44ef7c,True,164,E 47 St & 2 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=164,6498.10,164,classic,17,47,1596615845,40.75323098,-73.97032517,1,5
1,False,False,66db337f-0aca-11e7-82f6-3863bb44ef7c,True,167,E 39 St & 3 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=167,6389.03,167,classic,18,45,1596615845,40.7489006,-73.97604882,1,5
1,False,False,66db33fc-0aca-11e7-82f6-3863bb44ef7c,True,168,W 18 St & 6 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=168,6064.08,168,classic,19,0,1596615845,40.73971301,-73.99456405,1,5
1,False,False,66db347b-0aca-11e7-82f6-3863bb44ef7c,True,173,Broadway & W 49 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=173,6708.02,173,classic,20,70,1596615845,40.760683271,-73.984527290,1,5
1,False,False,66db34fc-0aca-11e7-82f6-3863bb44ef7c,True,174,E 25 St & 1 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=174,6004.07,174,classic,21,30,1596615845,40.7381765,-73.97738662,1,5
1,False,False,66db3583-0aca-11e7-82f6-3863bb44ef7c,True,195,Liberty St & Broadway,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=195,5105.01,195,classic,22,45,1596615845,40.70905623,-74.01043382,1,5
1,False,False,66db3606-0aca-11e7-82f6-3863bb44ef7c,True,212,W 16 St & The High Line,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=212,6233.05,212,classic,23,60,1596615845,40.74334935,-74.00681753,1,5
1,False,False,66db3687-0aca-11e7-82f6-3863bb44ef7c,True,216,Columbia Heights & Cranberry St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=216,4829.01,216,classic,24,23,1596615845,40.70037867,-73.99548059,1,5
1,True,False,66db3708-0aca-11e7-82f6-3863bb44ef7c,True,217,Old Fulton St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=217,4903.08,217,classic,25,39,1596615845,40.70277159,-73.99383605,1,5
1,False,False,66db3816-0aca-11e7-82f6-3863bb44ef7c,True,223,W 13 St & 7 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=223,6030.04,223,classic,26,33,1596615845,40.73781509,-73.99994661,1,5
1,True,False,66db3898-0aca-11e7-82f6-3863bb44ef7c,True,224,Spruce St & Nassau St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=224,5137.10,224,classic,27,30,1596615845,40.71146364,-74.00552427,1,5
1,False,False,66db3997-0aca-11e7-82f6-3863bb44ef7c,True,228,E 48 St & 3 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=228,6541.03,228,classic,28,55,1596615845,40.754601103,-73.971878855,1,5
1,False,False,66db3a1e-0aca-11e7-82f6-3863bb44ef7c,True,229,Great Jones St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=229,5636.11,229,classic,29,23,1596615845,40.72743423,-73.99379025,1,5
1,False,False,66db3ba0-0aca-11e7-82f6-3863bb44ef7c,True,236,St Marks Pl & 2 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=236,5669.10,236,classic,30,47,1596615845,40.7284186,-73.98713956,1,5
1,False,False,66db3c29-0aca-11e7-82f6-3863bb44ef7c,True,237,E 11 St & 2 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=237,5746.04,237,classic,31,39,1596615845,40.73047309,-73.98672378,1,5
1,False,False,66db3cab-0aca-11e7-82f6-3863bb44ef7c,True,238,Bank St & Washington St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=238,5964.01,238,classic,32,31,1596615845,40.7361967,-74.00859207,1,5
1,False,False,66db3d2a-0aca-11e7-82f6-3863bb44ef7c,True,239,Willoughby St & Fleet St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=239,4628.05,239,classic,33,31,1596615845,40.69196566,-73.9813018,1,5
1,False,False,66db3da9-0aca-11e7-82f6-3863bb44ef7c,True,241,DeKalb Ave & S Portland Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=241,4546.04,241,classic,34,23,1596615845,40.68981035,-73.97493121,1,5
1,False,False,66db3e32-0aca-11e7-82f6-3863bb44ef7c,True,242,Carlton Ave & Flushing Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=242,4732.08,242,classic,35,46,1596615845,40.697787,-73.973736,1,5
1,False,False,66db3f01-0aca-11e7-82f6-3863bb44ef7c,True,244,Willoughby Ave & Hall St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=244,4611.03,244,classic,36,31,1596615845,40.69196035,-73.96536851,1,5
1,True,False,66db3f62-0aca-11e7-82f6-3863bb44ef7c,True,245,Myrtle Ave & St Edwards St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=245,4659.02,245,classic,37,23,1596615845,40.69327018,-73.97703874,1,5
1,False,False,66db3fc9-0aca-11e7-82f6-3863bb44ef7c,True,247,Perry St & Bleecker St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=247,5922.07,247,classic,38,55,1596615845,40.73535398,-74.00483091,1,5
1,False,False,66db402c-0aca-11e7-82f6-3863bb44ef7c,True,248,Laight St & Hudson St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=248,5539.06,248,classic,39,99,1596615845,40.72185379,-74.00771779,1,5
1,False,False,66db408f-0aca-11e7-82f6-3863bb44ef7c,True,249,Harrison St & Hudson St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=249,5400.05,249,classic,40,27,1596615845,40.71870987,-74.0090009,1,5
1,False,False,66db40ef-0aca-11e7-82f6-3863bb44ef7c,True,250,Lafayette St & Jersey St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=250,5561.06,250,classic,41,40,1596615845,40.72456089,-73.99565293,1,5
1,False,False,66db4158-0aca-11e7-82f6-3863bb44ef7c,True,251,Mott St & Prince St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=251,5561.04,251,classic,42,27,1596615845,40.72317958,-73.99480012,1,5
1,False,False,66db41bf-0aca-11e7-82f6-3863bb44ef7c,True,252,MacDougal St & Washington Sq,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=252,5797.01,252,classic,43,33,1596615845,40.73226398,-73.99852205,1,5
1,False,False,66db4282-0aca-11e7-82f6-3863bb44ef7c,True,254,W 11 St & 6 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=254,5914.03,254,classic,44,47,1596615845,40.73532427,-73.99800419,1,5
1,False,False,66db4351-0aca-11e7-82f6-3863bb44ef7c,True,257,Lispenard St & Broadway,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=257,5391.06,257,classic,45,39,1596615845,40.71939226,-74.00247214,1,5
1,False,False,66db43b5-0aca-11e7-82f6-3863bb44ef7c,True,258,DeKalb Ave & Vanderbilt Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=258,4461.04,258,classic,46,23,1596615845,40.68940747,-73.96885458,1,5
1,True,False,66db4417-0aca-11e7-82f6-3863bb44ef7c,True,259,South St & Whitehall St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=259,4846.01,259,classic,47,39,1596615845,40.70122128,-74.01234218,1,5
1,False,False,66db447a-0aca-11e7-82f6-3863bb44ef7c,True,260,Broad St & Bridge St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=260,4962.08,260,classic,48,33,1596615845,40.70365182,-74.01167797,1,5
1,False,False,66db44e5-0aca-11e7-82f6-3863bb44ef7c,True,261,Johnson St & Gold St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=261,4668.08,261,classic,49,27,1596615845,40.69474881,-73.98362464,1,5
1,False,False,66db4549-0aca-11e7-82f6-3863bb44ef7c,True,262,Washington Park,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=262,4546.05,262,classic,50,24,1596615845,40.6917823,-73.9737299,1,5
1,False,False,66db460d-0aca-11e7-82f6-3863bb44ef7c,True,264,Maiden Ln & Pearl St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=264,5065.10,264,classic,51,27,1596615845,40.70706456,-74.00731853,1,5
1,False,False,66db4671-0aca-11e7-82f6-3863bb44ef7c,True,265,Stanton St & Chrystie St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=265,5523.02,265,classic,52,35,1596615845,40.72229346,-73.99147535,1,5
1,False,False,66db473c-0aca-11e7-82f6-3863bb44ef7c,True,267,Broadway & W 36 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=267,6441.01,267,classic,53,78,1596615845,40.75097711,-73.98765428,1,5
1,False,False,66db479e-0aca-11e7-82f6-3863bb44ef7c,True,268,Howard St & Centre St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=268,5422.04,268,classic,54,27,1596615845,40.71910537,-73.99973337,1,5
1,False,False,66db5c14-0aca-11e7-82f6-3863bb44ef7c,True,270,Adelphi St & Myrtle Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=270,4620.02,270,classic,55,23,1596615845,40.69308257,-73.97178913,1,5
1,False,False,66db5d28-0aca-11e7-82f6-3863bb44ef7c,True,274,Lafayette Ave & Fort Greene Pl,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=274,4395.04,274,classic,56,31,1596615845,40.68691865,-73.976682,1,5
1,False,False,66db5d92-0aca-11e7-82f6-3863bb44ef7c,True,275,Washington Ave & Greene Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=275,4419.03,275,classic,57,19,1596615845,40.68650065,-73.96563307,1,5
