Document Index (generated),Eightd Has Available Keys,Legacy Id,Station Id,Station Status,stations Index (generated),Is Installed,Is Renting,Is Returning,Last Reported,Last Updated,Num Bikes Available,Num Bikes Disabled,Num Docks Available,Num Docks Disabled,Num Ebikes Available,Number of Records per station_status.json,Ttl
1,False,72,72,active,1,1,1,1,1596614030,1596615920,19,0,36,0,1,1,5
1,False,79,79,active,2,1,1,1,1596608005,1596615920,23,1,9,0,0,1,5
1,False,82,82,active,3,1,1,1,1596605527,1596615920,22,3,2,0,0,1,5
1,False,83,83,active,4,1,1,1,1596610025,1596615920,44,0,18,0,0,1,5
1,False,116,116,active,5,1,1,1,1596611133,1596615920,24,0,26,0,0,1,5
1,False,119,119,active,6,1,1,1,1596605257,1596615920,16,0,3,0,0,1,5
1,False,120,120,active,7,1,1,1,1596605103,1596615920,11,4,4,0,0,1,5
1,False,127,127,active,8,1,1,1,1596606759,1596615920,22,2,7,0,0,1,5
1,False,128,128,active,9,1,1,1,1596606799,1596615920,21,2,7,0,0,1,5
1,False,143,143,active,10,1,1,1,1596604524,1596615920,2,1,21,0,0,1,5
1,False,144,144,active,11,1,1,1,1596610974,1596615920,56,1,1,0,1,1,5
1,False,146,146,active,12,1,1,1,1596612188,1596615920,24,1,14,0,0,1,5
1,False,150,150,active,13,1,1,1,1596605516,1596615920,38,2,15,0,0,1,5
1,True,151,151,active,14,1,1,1,1596612820,1596615920,24,1,8,0,0,1,5
1,False,157,157,active,15,1,1,1,1596607509,1596615920,7,0,16,0,0,1,5
1,False,161,161,active,16,1,1,1,1596614920,1596615920,23,1,11,0,0,1,5
1,False,164,164,active,17,1,1,1,1596610346,1596615920,2,3,42,0,0,1,5
1,False,167,167,active,18,1,1,1,1596612930,1596615920,2,1,42,0,0,1,5
1,False,168,168,out_of_service,19,0,0,0,86400,1596615920,0,0,0,0,0,1,5
1,False,173,173,active,20,1,1,1,1596612433,1596615920,3,2,65,0,0,1,5
1,False,174,174,active,21,1,1,1,1596614118,1596615920,2,1,27,0,0,1,5
1,False,195,195,active,22,1,1,1,1596613164,1596615920,28,1,16,0,0,1,5
1,False,212,212,active,23,1,1,1,1596608028,1596615920,10,1,49,0,0,1,5
1,False,216,216,active,24,1,1,1,1596605674,1596615920,3,1,19,0,0,1,5
1,False,217,217,active,25,1,1,1,1596611701,1596615920,18,2,19,0,0,1,5
1,False,223,223,active,26,1,1,1,1596614019,1596615920,22,2,9,0,0,1,5
1,True,224,224,active,27,1,0,0,1596175672,1596615920,0,0,30,0,0,1,5
1,False,228,228,active,28,1,1,1,1596606906,1596615920,2,0,53,0,0,1,5
1,False,229,229,active,29,1,1,1,1596605603,1596615920,8,1,14,0,0,1,5
1,False,236,236,active,30,1,1,1,1596614939,1596615920,31,2,14,0,1,1,5
1,False,237,237,active,31,1,1,1,1596605704,1596615920,5,2,32,0,0,1,5
1,False,238,238,active,32,1,1,1,1596608675,1596615920,0,1,30,0,0,1,5
1,False,239,239,active,33,1,1,1,1596604450,1596615920,8,0,23,0,0,1,5
1,False,241,241,active,34,1,1,1,1596604361,1596615920,5,0,18,0,0,1,5
1,False,242,242,active,35,1,1,1,1596615911,1596615920,32,0,14,0,0,1,5
1,False,244,244,active,36,1,1,1,1596604423,1596615920,12,1,18,0,0,1,5
